	pmid	Title	Abstract
0	36196931	Observations of hypomelanosis in the nurse shark Ginglymostoma cirratum.	Hypomelanosis refers to a suite of skin pigment abnormalities, including albinism, leucism, and piebaldism. While documented across many vertebrate species, examples of hypomelanosis are rarely seen in chondrichthyans, with little insight into the potential effects on survival. Here, we report the first observation of abnormal skin pigmentation indicative of piebaldism in the Atlantic nurse shark Ginglymostoma cirratum, representing only the second reported case of skin aberrations for this species. This extremely rare observation is discussed in the broader context of fitness variation and long-term survival. This article is protected by copyright. All rights reserved.
2	36186915	Capture heats up sharks.	Catch-and-release fishing is an important component of ecotourism industries and scientific research worldwide, but its total impact on animal physiology, health and survival is understudied for many species of fishes, particularly sharks. We combined biologging and blood chemistry to explore how this fisheries interaction influenced the physiology of two widely distributed, highly migratory shark species: the blue shark (
4	36182787	Total mercury concentrations in sharks, skates and rays along the South African coast.	Global declines in elasmobranch populations resulting from several stressors raises conservation concern. Additionally, apex predators bioaccumulate high concentrations of total mercury (THg), due to biomagnification. Although South Africa is considered one of the top ten contributors of Hg emissions globally, information on Hg concentrations in elasmobranchs is limited. The aim of this study was to evaluate the THg concentrations in 22 species of elasmobranchs along the South African coastline. Concentrations ranged between 0.22 and 5.8 mg/kg in Haploblepharus pictus (dark shysharks) and Rostroraja alba (white skates) on the south coast, respectively. Along the east coast it ranged between 0.21 and 17.8 mg/kg in Mobula kuhlii (shortfin devil rays) and Sphyrna lewini (scalloped hammerheads), respectively. Mercury concentrations on the east coast were in the same range or higher compared to the same species sampled between 2005-10 from the same region, with generally higher concentrations compared to the same species sampled globally.
5	36178940	A multi-method characterization of Elasmobranch & Cheloniidae communities of the north-eastern Red Sea and Gulf of Aqaba.	The Red Sea is particularly biodiverse, hosting high levels of endemism and numerous populations whose extinction risk is heightened by their relative isolation. Elasmobranchs and sea turtles have likely suffered recent declines in this region, although data on their distribution and biology are severely lacking, especially on the eastern side of the basin in Saudi Arabian waters. Here, we present sightings of elasmobranchs and sea turtles across the north-eastern Red Sea and Gulf of Aqaba collected through a combination of survey methods. Over 455 survey hours, we recorded 407 sightings belonging to 26 elasmobranch species and two sea turtle species, more than 75% of which are of conservation concern. We identified 4 species of rays and 9 species of sharks not previously recorded in Saudi Arabia and report a range extension for the pink whipray (Himantura fai) and the round ribbontail ray (Taeniurops meyeni) into the Gulf of Aqaba. High density of sightings of conservation significance, including green and hawksbill sea turtles and halavi guitarfish were recorded in bay systems along the eastern Gulf of Aqaba and the Saudi Arabian coastline bordering the north-eastern Red Sea, and many carcharhinid species were encountered at offshore seamounts in the region. Our findings provide new insights into the distribution patterns of megafaunal assemblages over smaller spatial scales in the region, and facilitate future research and conservation efforts, amidst ongoing, large-scale coastal developments in the north-eastern Red Sea and Gulf of Aqaba.
6	36177600	Non-autonomous cell death induced by the Draper phagocytosis receptor requires signaling through JNK and SRC pathways.	The last step of cell death is cell clearance, a process critical for tissue homeostasis. For efficient cell clearance to occur, phagocytes and dead cells need to reciprocally signal to each other. One important phenomenon that is under-investigated, however, is that phagocytes not only engulf corpses but contribute to cell death progression. The aims of this study were to determine how the phagocytic receptor Draper non-autonomously induces cell death, using the Drosophila ovary as a model system. We found that Draper, expressed in epithelial follicle cells, requires its intracellular signaling domain to kill the adjacent nurse cell population. Kinases Src, Shark and JNK were required for Draper-induced nurse cell death. Signs of nurse cell death occurred prior to apparent engulfment and required the caspase Dcp-1, indicating that it uses a similar apoptotic pathway as starvation-induced cell death. These findings indicate that active signaling by Draper is required to kill nurse cells via the caspase Dcp-1, providing novel insights into mechanisms of phagoptosis driven by non-professional phagocytes.
7	36177031	The influence of antibody humanization on shark variable domain (VNAR) binding site ensembles.	Sharks and other cartilaginous fish produce new antigen receptor (IgNAR) antibodies, as key part of their humoral immune response and are the phylogenetically oldest living organisms that possess an immunoglobulin (Ig)-based adaptive immune system. IgNAR antibodies are naturally occurring heavy-chain-only antibodies, that recognize antigens with their single domain variable regions (VNARs). In this study, we structurally and biophysically elucidate the effect of antibody humanization of a previously published spiny dogfish VNAR (parent E06), which binds with high affinity to the human serum albumin (HSA). We analyze different humanization variants together with the parental E06 VNAR and the human Vκ1 light chain germline DPK9 antibody to characterize the influence of point mutations in the framework and the antigen binding site on the specificity of VNARs as reported by Kovalenko et al. We find substantially higher flexibility in the humanized variants, reflected in a broader conformational space and a higher conformational entropy, as well as population shifts of the dominant binding site ensembles in solution. A further variant, in which some mutations are reverted, largely restores the conformational stability and the dominant binding minimum of the parent E06. We also identify differences in surface hydrophobicity between the human Vκ1 light chain germline DPK9 antibody, the parent VNAR E06 and the humanized variants. Additional simulations of VNAR-HSA complexes of the parent E06 VNAR and a humanized variant reveal that the parent VNAR features a substantially stronger network of stabilizing interactions. Thus, we conclude that a structural and dynamic understanding of the VNAR binding site upon humanization is a key aspect in antibody humanization.
8	36175455	Assessing a megadiverse but poorly known community of fishes in a tropical mangrove estuary through environmental DNA (eDNA) metabarcoding.	Biodiversity surveys are crucial for monitoring the status of threatened aquatic ecosystems, such as tropical estuaries and mangroves. Conventional monitoring methods are intrusive, time-consuming, substantially expensive, and often provide only rough estimates in complex habitats. An advanced monitoring approach, environmental DNA (eDNA) metabarcoding, is promising, although only few applications in tropical mangrove estuaries have been reported. In this study, we explore the advantages and limitations of an eDNA metabarcoding survey on the fish community of the Merbok Estuary (Peninsular Malaysia). COI and 12S eDNA metabarcoding assays collectively detected 178 species from 127 genera, 68 families, and 25 orders. Using this approach, significantly more species have been detected in the Merbok Estuary over the past decade (2010-2019) than in conventional surveys, including several species of conservation importance. However, we highlight three limitations: (1) in the absence of a comprehensive reference database the identities of several species are unresolved; (2) some of the previously documented specimen-based diversity was not captured by the current method, perhaps as a consequence of PCR primer specificity, and (3) the detection of non-resident species-stenohaline freshwater taxa (e.g., cyprinids, channids, osphronemids) and marine coral reef taxa (e.g., holocentrids, some syngnathids and sharks), not known to frequent estuaries, leading to the supposition that their DNA have drifted into the estuary through water movements. The community analysis revealed that fish diversity along the Merbok Estuary is not homogenous, with the upstream more diverse than further downstream. This could be due to the different landscapes or degree of anthropogenic influences along the estuary. In summary, we demonstrated the practicality of eDNA metabarcoding in assessing fish community and structure within a complex and rich tropical environment within a short sampling period. However, some limitations need to be considered and addressed to fully exploit the efficacy of this approach.
9	36169148	Morphometric analysis of the elasmobranch olfactory rosette.	The olfactory rosettes of elasmobranchs vary in shape and structure among species, but the functional consequences of this diversity are unresolved. Our goal was to quantify rosette morphology on dissected as well as diceCT-imaged specimens to analyze the drivers of observed trends in a phylogenetic context and compare the methodologies. We hypothesized that lamellar count and rosette shape (fineness ratio) would not scale with animal size, but other rosette size variables would scale positively. We dissected rosettes from 14 elasmobranch species and collected morphometric data (fineness ratio, lamellar count, interlamellar distance, lamellar thickness, and raphe width). A subset of rosettes (5 species) were used to analyze the effects of body size, while all 14 species were used for a phylogenetic principal component analysis (pPCA). We found that fineness ratio and lamellar counts varied significantly among species, and were positively correlated. The first two principal components of the pPCA explained 82% of the variation, with fineness ratio and lamellar count contributing most to the loadings, respectively. Diffusible iodine-based contrast-enhanced CT (diceCT) was used for in situ imaging of four species of Carcharhiniformes. There were no significant differences between rosette structure or volume when comparing values from dissected specimens to values from in situ specimens obtained using diceCT. We also quantified the volume of the excurrent channel in the olfactory capsule. These data add to our understanding of how olfactory organ shape varies among species and can be used to create 3D models for future olfactory hydrodynamic studies. This article is protected by copyright. All rights reserved.
10	36168768	Escape response kinematics in two species of tropical sharks: short escape latencies and high turning performance.	Accelerative manoeuvres, such as fast-starts, are crucial for fish to avoid predation. This escape responses include fundamental survival traits for prey that experience high predation pressure. However, no previous study has assessed escape performance in neonate tropical sharks. We quantitatively evaluated vulnerability traits of neonate tropical sharks by testing predictions on their fast-start escape performance. We predicted (1) high manoeuvrability, given their high flexibility, but (2) low propulsive locomotion due to the drag costs associated with pectoral fin extension during escape responses. Further, based on previous work on dogfish Squalus suckleyi, we predicted (3) long reaction times (as latencies longer than teleost,>20 ms). We used two-dimensional, high-speed videography analysis of mechano-acoustically stimulated neonate blacktip reef Carcharhinus melanopterus (n=12) and sicklefin lemon Negaprion acutidens (n=8) sharks. Both species performed a characteristic C-start double-bend response (i.e., two body bends), but single-bend responses were only observed in N. acutidens. As predicted, neonate sharks showed high manoeuvrability with high turning rates and tight turning radii (3-11% of body length) but low propulsive performance (i.e., speed, acceleration and velocity) when compared to similar-sized teleosts and S. suckleyi. Contrary to expectations, escape latencies were<20 ms in both species, suggesting that the neurophysiological system of sharks when reacting to a predatory attack may not be limited to long response times. These results provide a quantitative assessment of survival traits in neonate tropical sharks that will be crucial for future studies that consider the vulnerability of these sharks to predation.
11	36165921	Energetic consequences of resource use diversity in a marine carnivore.	Understanding how intraspecific variation in the use of prey resources impacts energy metabolism has strong implications for predicting long-term fitness and is critical for predicting population-to-community level responses to environmental change. Here, we examine the energetic consequences of variable prey resource use in a widely distributed marine carnivore, juvenile sand tiger sharks (Carcharias taurus). We used carbon and nitrogen isotope analysis to identify three primary prey resource pools-demersal omnivores, pelagic forage, and benthic detritivores and estimated the proportional assimilation of each resource using Bayesian mixing models. We then quantified how the utilization of these resource pools impacted the concentrations of six plasma lipids and how this varied by ontogeny. Sharks exhibited variable reliance on two of three predominant prey resource pools: demersal omnivores and pelagic forage. Resource use variation was a strong predictor of energetic condition, whereby individuals more reliant upon pelagic forage exhibited higher blood plasma concentrations of very low-density lipoproteins, cholesterol, and triglycerides. These findings underscore how intraspecific variation in resource use may impact the energy metabolism of animals, and more broadly, that natural and anthropogenically driven fluctuations in prey resources could have longer term energetic consequences.
