	pmid	Title	Abstract
1	36182787	Total mercury concentrations in sharks, skates and rays along the South African coast.	Global declines in elasmobranch populations resulting from several stressors raises conservation concern. Additionally, apex predators bioaccumulate high concentrations of total mercury (THg), due to biomagnification. Although South Africa is considered one of the top ten contributors of Hg emissions globally, information on Hg concentrations in elasmobranchs is limited. The aim of this study was to evaluate the THg concentrations in 22 species of elasmobranchs along the South African coastline. Concentrations ranged between 0.22 and 5.8 mg/kg in Haploblepharus pictus (dark shysharks) and Rostroraja alba (white skates) on the south coast, respectively. Along the east coast it ranged between 0.21 and 17.8 mg/kg in Mobula kuhlii (shortfin devil rays) and Sphyrna lewini (scalloped hammerheads), respectively. Mercury concentrations on the east coast were in the same range or higher compared to the same species sampled between 2005-10 from the same region, with generally higher concentrations compared to the same species sampled globally.
2	36178940	A multi-method characterization of Elasmobranch & Cheloniidae communities of the north-eastern Red Sea and Gulf of Aqaba.	The Red Sea is particularly biodiverse, hosting high levels of endemism and numerous populations whose extinction risk is heightened by their relative isolation. Elasmobranchs and sea turtles have likely suffered recent declines in this region, although data on their distribution and biology are severely lacking, especially on the eastern side of the basin in Saudi Arabian waters. Here, we present sightings of elasmobranchs and sea turtles across the north-eastern Red Sea and Gulf of Aqaba collected through a combination of survey methods. Over 455 survey hours, we recorded 407 sightings belonging to 26 elasmobranch species and two sea turtle species, more than 75% of which are of conservation concern. We identified 4 species of rays and 9 species of sharks not previously recorded in Saudi Arabia and report a range extension for the pink whipray (Himantura fai) and the round ribbontail ray (Taeniurops meyeni) into the Gulf of Aqaba. High density of sightings of conservation significance, including green and hawksbill sea turtles and halavi guitarfish were recorded in bay systems along the eastern Gulf of Aqaba and the Saudi Arabian coastline bordering the north-eastern Red Sea, and many carcharhinid species were encountered at offshore seamounts in the region. Our findings provide new insights into the distribution patterns of megafaunal assemblages over smaller spatial scales in the region, and facilitate future research and conservation efforts, amidst ongoing, large-scale coastal developments in the north-eastern Red Sea and Gulf of Aqaba.
3	36175455	Assessing a megadiverse but poorly known community of fishes in a tropical mangrove estuary through environmental DNA (eDNA) metabarcoding.	Biodiversity surveys are crucial for monitoring the status of threatened aquatic ecosystems, such as tropical estuaries and mangroves. Conventional monitoring methods are intrusive, time-consuming, substantially expensive, and often provide only rough estimates in complex habitats. An advanced monitoring approach, environmental DNA (eDNA) metabarcoding, is promising, although only few applications in tropical mangrove estuaries have been reported. In this study, we explore the advantages and limitations of an eDNA metabarcoding survey on the fish community of the Merbok Estuary (Peninsular Malaysia). COI and 12S eDNA metabarcoding assays collectively detected 178 species from 127 genera, 68 families, and 25 orders. Using this approach, significantly more species have been detected in the Merbok Estuary over the past decade (2010-2019) than in conventional surveys, including several species of conservation importance. However, we highlight three limitations: (1) in the absence of a comprehensive reference database the identities of several species are unresolved; (2) some of the previously documented specimen-based diversity was not captured by the current method, perhaps as a consequence of PCR primer specificity, and (3) the detection of non-resident species-stenohaline freshwater taxa (e.g., cyprinids, channids, osphronemids) and marine coral reef taxa (e.g., holocentrids, some syngnathids and sharks), not known to frequent estuaries, leading to the supposition that their DNA have drifted into the estuary through water movements. The community analysis revealed that fish diversity along the Merbok Estuary is not homogenous, with the upstream more diverse than further downstream. This could be due to the different landscapes or degree of anthropogenic influences along the estuary. In summary, we demonstrated the practicality of eDNA metabarcoding in assessing fish community and structure within a complex and rich tropical environment within a short sampling period. However, some limitations need to be considered and addressed to fully exploit the efficacy of this approach.
4	36165921	Energetic consequences of resource use diversity in a marine carnivore.	Understanding how intraspecific variation in the use of prey resources impacts energy metabolism has strong implications for predicting long-term fitness and is critical for predicting population-to-community level responses to environmental change. Here, we examine the energetic consequences of variable prey resource use in a widely distributed marine carnivore, juvenile sand tiger sharks (Carcharias taurus). We used carbon and nitrogen isotope analysis to identify three primary prey resource pools-demersal omnivores, pelagic forage, and benthic detritivores and estimated the proportional assimilation of each resource using Bayesian mixing models. We then quantified how the utilization of these resource pools impacted the concentrations of six plasma lipids and how this varied by ontogeny. Sharks exhibited variable reliance on two of three predominant prey resource pools: demersal omnivores and pelagic forage. Resource use variation was a strong predictor of energetic condition, whereby individuals more reliant upon pelagic forage exhibited higher blood plasma concentrations of very low-density lipoproteins, cholesterol, and triglycerides. These findings underscore how intraspecific variation in resource use may impact the energy metabolism of animals, and more broadly, that natural and anthropogenically driven fluctuations in prey resources could have longer term energetic consequences.
5	36088355	Sharkipedia: a curated open access database of shark and ray life history traits and abundance time-series.	A curated database of shark and ray biological data is increasingly necessary both to support fisheries management and conservation efforts, and to test the generality of hypotheses of vertebrate macroecology and macroevolution. Sharks and rays are one of the most charismatic, evolutionary distinct, and threatened lineages of vertebrates, comprising around 1,250 species. To accelerate shark and ray conservation and science, we developed Sharkipedia as a curated open-source database and research initiative to make all published biological traits and population trends accessible to everyone. Sharkipedia hosts information on 58 life history traits from 274 sources, for 170 species, from 39 families, and 12 orders related to length (n = 9 traits), age (8), growth (12), reproduction (19), demography (5), and allometric relationships (5), as well as 871 population time-series from 202 species. Sharkipedia relies on the backbone taxonomy of the IUCN Red List and the bibliography of Shark-References. Sharkipedia has profound potential to support the rapidly growing data demands of fisheries management, international trade regulation as well as anchoring vertebrate macroecology and macroevolution.
6	36074239	Elasmobranchs from Indonesian Waters: Feeding Ecology and Trypanorhynch Cestode Fauna Composition to Support Efforts in Shark and Ray Conservation.	"PURPOSE: The stomachs and spiral valves of sharks and rays were examined for their trypanorhynch (Cestoda) parasite fauna and dietary items to infer feeding ecology. In Indonesia, sharks and rays have been experiencing increasing awareness and conservation in the recent years due to high fisheries activities and to avoid future species extinction.
METHODS: The samples were collected in 2009 from two different sampling sites at the southern coasts of Java and Bali in Indonesia. The parasite fauna was studied for 41 elasmobranch fishes. Amongst these, three shark species, Carcharhinus sorrah, Carcharhinus sp. I and Squalus megalops and seven ray species, Brevitrygon heterura, B. cf. heterura, Gymnura zonura, Maculabatis gerrardi, Mobula kuhlii, Neotrygon cauruleopuncatata and Rhinobatos penggali were studied. Four additional specimens, belonging to the shark species Carcharhinus sp. II and Mustelus cf. manazo and the ray species Maculabatis gerrardi were studied from the waters of South Bali.
RESULTS: Analyses of the feeding ecology of the ray M. gerrardi revealed distinct differences between both sampling sites, indicating the presence of ecological differences between the geographically independent regions. A total of 11 different trypanorhynch species/taxa belonging to the five families Eutetrarhynchidae (5), Gilquiniidae (1), Lacistorhynchidae (1), Pterobothriidae (1) and Tentaculariidae (3) were found. Ten trypanorhynch species from Penyu Bay and four species from South Bali could be identified. Two taxa that might represent new species were collected: Dollfusiella sp. from Brevitrygon heterura and Prochristianella sp. from Maculabatis gerrardi.
CONCLUSIONS: The present paper gives insights in using the trypanorhynch cestode community in combination with feeding ecology analyses to support conservation of elasmobranchs in Indonesian waters."
7	36056454	Vertical space use and thermal range of the great hammerhead (Sphyrna mokarran), (Rüppell, 1837) in the western North Atlantic.	The great hammerhead (Sphyrna mokarran) is a highly mobile, large-bodied shark primarily found in coastal-pelagic and semi-oceanic waters across a circumtropical range. It is a target or by-catch species in multiple fisheries, and as a result, rapid population declines have occurred in many regions. These declines have contributed to the species being assessed as globally critically endangered on the IUCN Red List. Although conservation and management measures have yielded promising results in some regions, such as the United States, high levels of at-vessel and post-release mortality remain a major concern to the species population recovery. This examined the vertical space use and thermal range of pop-off archival satellite-tagged S. mokarran in the western North Atlantic Ocean, expanding the understanding of the ecological niche of this species and providing insight into by-catch mitigation strategies for fisheries managers. The results showed that S. mokarran predominantly used shallow depths (75% of records <30 m) and had a narrow temperature range (89% of records between 23 and 28°C). Individual differences in depth use were apparent, and a strong diel cycle was observed, with sharks occupying significantly deeper depths during the daytime. Furthermore, two individuals were confirmed pregnant with one migrating from the Bahamas to South Carolina, U.S.A., providing further evidence of regional connectivity and parturition off the U.S. East Coast. The findings suggest that S. mokarran may be vulnerable to incidental capture in the western North Atlantic commercial longline fisheries due to substantial vertical overlap between the species and the gear. The results can be incorporated into conservation and management efforts to develop and/or refine mitigation measures focused on reducing the by-catch and associated mortality of this species, which can ultimately aide S. mokarran population recovery in areas with poor conservation status.
8	36052296	Age group DNA methylation differences in lemon sharks (Negaprion brevirostris): Implications for future age estimation tools.	Age information is often non-existent for most shark populations due to a lack of measurable physiological and morphological traits that can be used to estimate age. Recently, epigenetic clocks have been found to accurately estimate age for mammals, birds, and fish. However, since these clocks rely, among other things, on the availability of reference genomes, their application is hampered in non-traditional model organisms lacking such molecular resources. The technique known as Methyl-Sensitive Amplified Polymorphism (MSAP) has emerged as a valid alternative for studying DNA methylation biomarkers when reference genome information is missing, and large numbers of samples need to be processed. Accordingly, the MSAP technique was used in the present study to characterize global DNA methylation patterns in lemon sharks from three different age groups (juveniles, subadults, and adults). The obtained results reveal that, while MSAP analyses lack enough resolution as a standalone approach to infer age in these organisms, the global DNA methylation patterns observed using this technique displayed significant differences between age groups. Overall, these results confer that DNA methylation does change with age in sharks like what has been seen for other vertebrates and that MSAP could be useful as part of an epigenetics pipeline to infer the broad range of ages found in large samples sizes.
9	35963405	Size distribution patterns of silky shark Carcharhinus falciformis shaped by environmental factors in the Pacific Ocean.	Commercial fisheries, especially pelagic longline fisheries targeting tuna and/or swordfish, often land silky sharks (Carcharhinus falciformis), which are currently listed as vulnerable by the International Union for Conservation of Nature (IUCN). Due to increasing fishing effort and the fact that they overlap in habitat with target species, the population trend of silky sharks is declining worldwide. Understanding their relationships with environmental variables that lead to their capture by fisheries is critical for their management and conservation. Nevertheless, little is known about their size distribution in relation to environmental variables in the Pacific Ocean. Using data from the Chinese Observer Tuna Longline fishery from 2010 to 2020, this study developed a species distribution model (SDM) to analyze the relationships between silky shark size distribution patterns and environmental variables and spatio-temporal variability at fishing locations. Observed sizes ranged from 36 to 269 cm fork length (FL). The final model suggests that sea surface temperature (SST), primary production (photosynthetically available radiation, PAR), and ocean surface winds were the key environmental variables shaping size distribution patterns of silky sharks in the Pacific. A high proportion of larger silky sharks has been predicted in areas associated with productive upwelling systems. In addition, the model predicted that larger specimens (>140 cm FL) occur near the equator, and smaller specimens farther from the equator but still in tropical regions. Two regions in the eastern Pacific (the coastal upwelling area off northern Peru and the waters around the Galapagos Islands) seem to be important locations for larger specimens. The size distribution patterns of silky sharks in relation to environmental variables presented in this study illustrate how this species segregates spatially and temporally and presents potential habitat preference areas. The information obtained in the present study is critical in the quest for management and conservation of menaced species such as the silky shark.
10	35945934	Molecular identification and first demographic insights of sharks based on artisanal fisheries bycatch in the Pacific Coast of Colombia: implications for conservation.	The Pacific coast of Colombia is characterized by mangrove ecosystems which play a crucial role as possible nurseries for juvenile sharks. However, trophic food webs from coastal ecosystems are heavily disturbed by increased fishing pressure, which affects numerous shark species. In this region of the Eastern Tropical Pacific (ETP), fisheries' data from coastal areas are scarce and unspecific, as most sharks from artisanal fisheries are landed decapitated and finless, making their morphological identification difficult. For the establishment and implementation of effective regional conservation and management policies, information on the diversity and population dynamics of shark species is crucial. We therefore sequenced the mitochondrial NADH2 gene of 696 samples taken from fishermen's landings of shark's bycatch along the Colombian north Pacific coast. We were able to identify 14 species of sharks, two of the most abundant species were 
