	tweet	hashtags
0	We have partnered with an established national waste solutions provider to help your business to...  ♻️ Reduce costs ♻️ Increase recycling rates ♻️ Deliver sustainable waste management strategies  #recycle #wastemanagement #reducereuserecycle #sustainable #focusassured  m76daZ7mfR	['recycle', 'wastemanagement', 'reducereuserecycle', 'sustainable', 'focusassured']
1	$WM reports Earnings today. $WM in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators:  xUg8FRIizw #WasteManagement  z5NVOADHDo	['wastemanagement']
2	We visited the Shimo la Tewa #prison to see the #wastemanagement plant developed by @unep and @thegef through the Nairobi Convention (@NCSecretariat) and #WIOSAP.  This project will be replicated at other sites under  #GoBlue and implemented by @UNEP and @UNHABITAT @gobluekenya  UfI2lMxwB1	['prison', 'wastemanagement', 'wiosap', 'goblue']
3	Myth - buster  - - - - #reduce #wastemanagement #wastemanagement #recycle #reuse #video #postoftheday #mywastesolution #waste #wastedisposal #mws #iimlucknow  ErnjxrArjZ	['reduce', 'wastemanagement', 'wastemanagement', 'recycle', 'reuse', 'video', 'postoftheday', 'mywastesolution', 'waste', 'wastedisposal', 'mws', 'iimlucknow']
4	👷‍♂️Construction professionals  📢15 DASBE courses commencing this January!  Visit  C09tbxDrji for a full list of courses in #energyefficiency, #circulareconomy and #digitalskills  7cvxnCK0Wf	['energyefficiency', 'circulareconomy', 'digitalskills']
5	In collaboration with @conservoptimism and The @iucn Green Status of Species, get inspired from Monday October 31st to Friday November 4th!  🎯 Register:  VY0QRpCzmg 👉 More info on Hope For Wildlife:  zzJDMHdvpv	[]
6	We've been at the forefront of the #CircularEconomy for over 26 years, extending the lifecycle of assets, cutting waste and helping companies earn from their unwanted goods. Find out why we do it and how your business (and the planet) can benefit 🔄️🌍💷  EuTpaVlxed  HgUq55kIOy	['circulareconomy']
7	@i_rin_x15 Notes hi notes hai. Now I'm just invested in reading articles from Hindu, IUCN, IPBES, WHO, IMF, Yojna journals	[]
8	@PGDynes @WasteManagement @EPA @CaliforniaEPA @RobBonta @GavinNewsom @ECOWARRIORSS Is this occurring Nationwide?	[]
9	@PGDynes @WasteManagement @EPA @CaliforniaEPA @RobBonta @GavinNewsom @democracynow @latimes @SFGate @sacbee_news @Van_Tieu @CalRecycle @recycle_now @RecyclingToday @GlbRecyclingDay @RyanSabalow @ChicoNR, is this happening in YOUR neighborhood?! It's been the case for me in nearly two years!	[]
10	I numeri del #riciclo della #plastica negli #StatiUniti appaiono sempre più bassi. Lo rileva un nuovo rapporto di @greenpeaceusa secondo il quale nessun tipo di imballaggio di plastica soddisfa la definizione di riciclabile di @circulareconomy.  WNFPruH2jF	['riciclo', 'plastica', 'statiuniti']
11	@WasteManagement truck is spraying trash all over I-30 in Texarkana, from the top of the truck. Somehow no one is phased, including the driver	[]
12	@Shark_ManDan @ProtectOceanKin @SaveTheMed_ @sharkcentre @WWF_Sharks @IUCNRedList @IUCN_Med As son as we have more information, we will get in touch with you again. For any questions or queries, we provide you the number assigned to your case CS 806647. Thank you very much! 2/2	[]
13	@Shark_ManDan @ProtectOceanKin @SaveTheMed_ @sharkcentre @WWF_Sharks @IUCNRedList @IUCN_Med Hi! We apologize for the inconvenience caused and we appreciate your communication since it helps us to improve our products. We have taken note of what happened and we have transfered it to the quality department and the product manufacturer  in order to investigate it. 1/2	[]
14	social conscience. Go to  pF9z4dWzsw and click 'Get Started Now'. Fully-funded for Londoners of any age.  #startup #seniors #entrepreneur #busines #greeneconomy #circulareconomy #scaleup  HqSZUaCs2o	['startup', 'seniors', 'entrepreneur', 'busines', 'greeneconomy', 'circulareconomy', 'scaleup']
15	A rare greater one-horned rhino calf has been born at Chester Zoo 🦏  The female calf weighed 50kg at birth and is the first of its species to be born at the zoo in 4 years.  The species is classified as vulnerable by the IUCN, and there are around 2,200 mature individuals left.  DVX34sFScb	[]
16	🤩🗣️Only 2 days left until our BIG SWAP SHOP event! We are Looking forward to seeing you at St Martin's Church EH11 2JG this Saturday (29/10) from 12pm to 4pm. ♻️🌎 Would you like to volunteer? Email cfc@elrec.org.uk to know more. #zerowaste #circulareconomy #ecofriendly  cqJPVBhMIy	['zerowaste', 'circulareconomy', 'ecofriendly']
17	Trash collected along Jomo Kenyatta Public Beach today during the beach clean up before being weighed. Keeping plastics and other waste out of the beaches and sea promotes a healthy marine ecosystem @EUinKenya @JumuiyaBloc  #BeatPlasticPollution #blueconomy #marineconservation  nTTpjL2hXE	['beatplasticpollution', 'blueconomy', 'marineconservation']
18	Join me in support of a strong Global #PlasticsTreaty that limits plastic production and use so that we can finally turn off the tap and end the age of plastic - for our communities, our country, and our planet. #INC1 #BreakFreeFromPlastic  R4BA3AiRoU	['plasticstreaty', 'inc1', 'breakfreefromplastic']
19	A special thank you to all the @WasteManagement team for not only doing a great job - but for always entertaining and interacting with my toddler! He loves the big green trucks!!  xkOd81iaPs	[]
20	IUCN Leaders Forum closes with call to measure progress towards nature-positive future. 🌍#ClimateAction #ClimateCrisis #ClimateChange🌍	['climateaction', 'climatecrisis', 'climatechange']
21	And don’t throw a #lithium ion #battery in the #trash or #recycling! It causes #fires! Lots of them! @NYPDnews @dcfireems @FireRover @WasteManagement @GFLenv @RumpkeNews @NYCSanitation @RepublicService @WasteConnection @CasellaWaste @firenation @Call2Recycle  @Duracell @amazon	['lithium', 'battery', 'trash', 'recycling', 'fires']
22	K 2022 is drawing to a close and I've had a blast, here are a few more highlights from an inspirational few days in Germany.  #K2022 #design #inspiration #designer #collaboration #future #KTradefair #MesseDuesseldorf #CircularEconomy #Sustainability #plastics #plasticsindustry  St3vzelfly	['k2022', 'design', 'inspiration', 'designer', 'collaboration', 'future', 'ktradefair', 'messeduesseldorf', 'circulareconomy', 'sustainability', 'plastics', 'plasticsindustry']
23	@youthforanimals @LicypriyaK @ShashiTharoor @moefcc @vfaes_org .@lifeindia2016 @CRARIndia @bahardutt @BittuSahgal @anishandheria @wti_org_india @vivek4wild @deespeak @NehaPanchamia @nehaa_sinha @bharatir @ParveenKaswan @susantananda3 @IUCN_AsESG	[]
24	What did #Aalborg look like seen from the #Limfjord 100 years ago - in almost EXACTLY the place where we have @bluegovernance offices today??? Now we know thanks to this 1920 oilpainting by Lauritz Sørensen (1882-1952)! #marsocsci #culturalheritage #maritimehistory #art @aautech  8snnZmywlX	['aalborg', 'limfjord', 'marsocsci', 'culturalheritage', 'maritimehistory', 'art']
25	@TimmermansEU Tax the synthetic textile industry, the main microplastic producer.	[]
26	"@fpa @ellenmacarthur @circulareconomy Nos llevamos como titular para el encuentro de Toma la Palabra ""Hazlo circular"" de mañana con los estudiantes de Asturias, la palabras de @ellenmacarthur ""Tenemos una gran oportunidad. Necesitamos un tratado mundial"" 👏👏 Muchas gracias @circulareconomy"	[]
27	Ppl joking abt squids and octos in splatoon being full of microplastic when us in year 2022 are too 😭 it didn't take a mass extinction event for it to happen	[]
28	Job Seekers: Environmental Health and Safety Specialist (#Covington, Georgia) Contract Packaging, Inc #job #WasteManagement #WaterSampling #EnvironmentalHealthandSafety #EnvironmentalEngineering #HealthSafetyandEnvironment #Sampling #HealthandSafety  HsGgGZkiAt  iT8wOoryUK	['covington', 'job', 'wastemanagement', 'watersampling', 'environmentalhealthandsafety', 'environmentalengineering', 'healthsafetyandenvironment', 'sampling', 'healthandsafety']
29	 rEuX5UbWMl Recycling has become an important part of every industry and the commercial construction industry is no different.  #commercialconstruction #construction #recycling #recycle #sustainability #zerowaste #ecofriendly #environment #wastemanagement #plastic  CnK9y1cPXW	['commercialconstruction', 'construction', 'recycling', 'recycle', 'sustainability', 'zerowaste', 'ecofriendly', 'environment', 'wastemanagement', 'plastic']
30	@WasteManagement 4 straight weeks without trash pickup! What a joke of a company! They always say they are coming but never show.	[]
31	@ImpactHubHarare Great to see there's a lot going on in the #CircularEconomy field in #Africa. Please check your link, as it's not leading anywhere...	['circulareconomy', 'africa']
32	A historic, long overdue &amp; important paper on mgmnt of stray dogs in/around wildlife areas  pF6Y7zrLx1 @ntca_india @moefcc @WildCRU_Ox @IUCNRedList @IUCN_forests @PMOIndia @Jairam_Ramesh @MIB_India @AmitShah @byadavbjp @AshwiniKChoubey @PMOIndia @narendramodi	[]
33	Es ist genügsam, hat eine hohe Energiedichte und bindet viel CO2: Das Riesengras Miscanthus. Nicht nur als Heizölersatz wird das Gras immer beliebter – auch die Industrie entdeckt es als neuen Rohstoff. So wie die Papierindustrie.  nZjZUSH345 #circulareconomy	['circulareconomy']
34	@drishtiiaseng B) Only 2  (IUCN STATUS OF Sandalwood -Vulnerable)	[]
35	@Pyrynestori @MattiNummelin @iucn_finland Ok. Mielenkiinnolla seuraan, ottaako JSN käsittelyyn ja mikä lopputulos.	[]
36	シロサイ 【学名】 Ceratotherium simum 【種類】 哺乳綱 ウマ目 サイ科 シロサイ属シロサイ 【レッドリスト】 IUCNによる保全状況（Ver.3.1）             NT：準絶滅危惧  3aXKzrROHa	[]
37	We have a Call for Abstracts for #SustainableMinerals23, which will be held in Falmouth, Cornwall, UK next June 👉  mUzhG2kkgT  #mining #sustainablemining #mineralprocessing #AMD #recycling #circulareconomy #weee #tailings #sustainability #minewaste #criticalminerals  N9PTHqzPkB	['sustainableminerals23', 'mining', 'sustainablemining', 'mineralprocessing', 'amd', 'recycling', 'circulareconomy', 'weee', 'tailings', 'sustainability', 'minewaste', 'criticalminerals']
38	@juhuus @MattiNummelin @iucn_finland Ja oikaisemaan väitteen, että olisi selvää, että ennallistamisasetus hävittäisi metsäteollisuuden edellytykset ja/tai ei edistäisi ilmastonmuutoksen torjuntaa.  Ei näyttäytynyt mielipiteenä.	[]
39	IJMS, Vol. 23, Pages 12978: Microplastic-Induced Oxidative Stress in Metolachlor-Degrading Filamentous Fungus Trichoderma harzianum  bRRZYdOE9O	[]
40	Whether you are looking for residential or commercial #WasteManagement services, you can turn to us for an affordable solution. We cover Milwaukee, Waukesha, Ozaukee, Washington, Walworth, Racine and Kenosha Counties. Contact our team today to get started.  njcMAmZBY9  CGVSh7lVXS	['wastemanagement']
41	O3Waves - Gray water reuse. #Graywater #CircularEconomy #Reuse #Water #Ozone  5x8onVm7VO  5arOIMMbXB	['graywater', 'circulareconomy', 'reuse', 'water', 'ozone']
42	@juhuus @MattiNummelin @iucn_finland 3. Oikaisemaan pari virhettä liittyen luontotyyppien uhanalaisuuden arviointiin  4. Oikaisemaan väitteen, että viitatussa raportissa olisi puhuttu metsän hiilivarastosta, kun raportissa puhuttiin vain elävän puun biomassaan sitoutuneesta hiilestä (hiilivarasto sisältää maaperän)	[]
43	Your Guide to a More Eco-Friendly Packing List  tGZRTJ8ZLs via @CNTraveler @LiveEventsCo #Sustainability #travel #business #tradeshows #hotels #ecofriendly #circulareconomy #zerowaste #greenwashing #carbonfootprint #organic	['sustainability', 'travel', 'business', 'tradeshows', 'hotels', 'ecofriendly', 'circulareconomy', 'zerowaste', 'greenwashing', 'carbonfootprint', 'organic']
44	@juhuus @MattiNummelin @iucn_finland Pyysin lisäksi  1. Täsmentämään, että ennallistamisasetus koskee myös muitakin kuin maa- ja metsätalousympäristöjä, koska nyt pääkirjoitus johtaa harhaan.  2. Oikaisemaan väitteen, että ennallistus lopettaisi avohakkuut  1/2	[]
45	#wastemanagement ($WM) informó ganancias trimestrales mejores de lo esperado. La compañía dijo que se benefició de la solidez continua en su negocio de recolección de basura, y los controles de costos exitosos.	['wastemanagement']
46	i find butter fucking disgusting	[]
47	For more information and guidelines of what waste will be allowed at the event, please visit the following link:  nfNd36t6xb  #KeepStTammanyBeautiful #WasteManagement #StTammany  dG4KPxsLuj	['keepsttammanybeautiful', 'wastemanagement', 'sttammany']
48	Will you help us shape the future of retail? Participate in our #consumerexperience research studies.  Learn more and sign-up:  7scfjsBJOb Photo: Ricardo O’Nascimento. @RCA @eastvillageLDN @getliving #regenerativefashionhub  #textilescircularitycentre #circulareconomy  UlYQpDSj30	['consumerexperience', 'regenerativefashionhub', 'textilescircularitycentre', 'circulareconomy']
49	The virgin Lurpak vs the chad olive oil spread	[]
50	@Pyrynestori @MattiNummelin @iucn_finland Vaikuttaahan tuo pieneltä asiavirheeltä, minkä olisi hyvin voinut oikaista/täsmentää. Mitä ne muut asiavirheet olivat? Itse huomasin lähinnä näkemyksiä, joista olen itse eri mieltä, mutta harvoinpa olen pääkkäri-mielipiteiden kanssa samoilla linjoilla.	[]
51	Patrick CEO Hygrow - producer of organic fertilisers. Making our soils great again! By recycling ♻️ organic waste into fertilisers. From scratch! He has designed and fabricated machines to do this!  One day field visits and my heart is full! There is hope... #circulareconomy  SvREFLiY12	['circulareconomy']
52	We are open! @NtuaSel hosted students of the Department of Environment from @uaegean with Athanasios Stasinakis,for a day visit to explore the solutions for water treatment and agriculture innovation developed for #HYDRO1 &amp; #HYDRO2 in Antissa village! #openschool #circulareconomy  APUW9NB6d6	['hydro1', 'hydro2', 'openschool', 'circulareconomy']
53	🔴 Live press conference at 5pm (CEST)  with @ellenmacarthur, 2022 Princess of Asturias Laureate for International Cooperation.  9FcKH5yWtr  @ellenmacarthur  @circulareconomy   #PrincessofAsturiasAwards	['princessofasturiasawards']
54	🔴 En directo, a las 17:00 horas, la rueda de prensa de @ellenmacarthur, Premio Princesa de Asturias de Cooperación Internacional 2022.  UA0Iv7TrmV  @ellenmacarthur  @circulareconomy  #PremiosPrincesadeAsturias	['premiosprincesadeasturias']
55	@89SilviaSchmidt @wessanen_250 Fight against #greenwashing &amp; providing more info to consumers is 🔑. The methodology used for these should: ✅support agroecological #FoodSystems transition ✅be based on science ✅support principles of #CircularEconomy ✅go beyond environment 🗣️@89SilviaSchmidt @OrganicsEurope  137xo5tk4s	['greenwashing', 'foodsystems', 'circulareconomy']
56	How does Aluminium Cans affect the environment?  Contact us Today +27 12 753 3093 +27 81 728 8949 info@babinanoko.co.za  q51P5vIdXS #cans #aluminiumcans #waste #reusing #recycling #zerowaste #environment #thinkbabinanoko #savetheplanet #wastemanagement  Ij3nTprhve	['cans', 'aluminiumcans', 'waste', 'reusing', 'recycling', 'zerowaste', 'environment', 'thinkbabinanoko', 'savetheplanet', 'wastemanagement']
57	Then met Lucy CEO of @BinsJunky converting organic waste via the BSF larvae to protein feeds for poultry, fish and pigs.From the residue they make organic manure and fertiliser.  Extraordinary Kenyans moving greed economy into Green economy 🥰 #Widu #GreenGrant #circulareconomy  wOfs8arlKf	['widu', 'greengrant', 'circulareconomy']
58	Reclaimed wood: Offcuts can be chemically recycled to produce material stronger than steel  iCC8eISEhC ___  ##cellulose #circulareconomy #healedwood #lignin #recycling #Wood #news #stories #articles #tips #advice #tausiinsider #lifehack ...  iCC8eISEhC	['cellulose', 'circulareconomy', 'healedwood', 'lignin', 'recycling', 'wood', 'news', 'stories', 'articles', 'tips', 'advice', 'tausiinsider', 'lifehack']
59	Global Businesses &amp; NGOs Endorse a Common Vision for an Ambitious Global Plastics Treaty   XSMOxDvhIP @WWF @circulareconomy  aHgrkVchhI	[]
60	🗞️Learn about the latest #science for #environment:  🚗🔌#electricmobility 🌊📜 #marine #pollution legislation 🌳🚨 #climatechange threats to #Forests  💼♻️#SMEs &amp; #circulareconomy   Read more in the @SfEP 🇪🇺 news alert➡️  vejAFd8VYp  EsggGfCpaN	['science', 'environment', 'electricmobility', 'marine', 'pollution', 'climatechange', 'forests', 'smes', 'circulareconomy']
61	WOW! @IUCN_SSG @JuliaGeschke	[]
62	@Antonio04952504 @CaltransHQ @WasteManagement @CalRecycle @CaliforniaEPA @AirResources @CaWaterBoards Check out our schoolyard cleanup program  C9mH1vMzJH. Schools can request supplies.	[]
63	Big thanks to @unisevilla for welcoming us to beautiful Seville for the @RawminaEU consortium meeting!   As they key project in our #RawMinerals Helix, Rawmina  aims to recover #CriticalRawMaterials from #MineWaste in a #CircularEconomy context 🔄  Info 👉  jd9XurL3QX	['rawminerals', 'criticalrawmaterials', 'minewaste', 'circulareconomy']
64	@circulareconomy @ellenmacarthur @fpa Congratuletion  arthur fundation deserve this and more	[]
65	Canteras Evadrianas y Lorenas. Ambas desde el 2020 están destruyendo un ecosistema en peligro crítico de extinción y con menos del 2% según la @IUCN con el permiso de @Ambiente_Ec y @RecNaturalesEC ¿Nuevas concesiones en un ecosistema protegido, frágil y en peligro?	[]
66	PPWMS organizes awareness program on ''Plastic Waste Segregation and Management #plasticwaste   YNT78j0emJ	['plasticwaste']
67	Nov2-16  ir4j5frb6w #socent #impinv #socinn #startupfunding #impactwomen #femalefounders #agritech #cleantech #edtech #healthtech #medtech #SDGs #techforgood #urbantech #CitizenEntrepreneurship #financialinclusion #circulareconomy #ehealth	['socent', 'impinv', 'socinn', 'startupfunding', 'impactwomen', 'femalefounders', 'agritech', 'cleantech', 'edtech', 'healthtech', 'medtech', 'sdgs', 'techforgood', 'urbantech', 'citizenentrepreneurship', 'financialinclusion', 'circulareconomy', 'ehealth']
68	This Fri @ellenmacarthur will accept the 2022 @fpa Award for International Cooperation for her work with the Foundation to accelerate the transition to a circular economy. Watch her speak at the press conference at 4 pm BST today.  JVwTDyxorV	[]
69	Second talk on microplastic pollution by Nella Meyers from @VLIZnews and UGhent  XUCpMDnaM8	[]
